,,0
は,助詞-係助詞,11493
た,助動詞,8639
の,助詞-格助詞,7241
て,助詞-接続助詞,6556
に,助詞-格助詞,5626
が,助詞-格助詞,5091
だ,助動詞,4685
を,助詞-格助詞,4120
と,助詞-格助詞,3817
で,助詞-格助詞,3453
し,動詞-非自立可能,3267
も,助詞-係助詞,2877
よ,助詞-終助詞,2858
の,助詞-準体助詞,2844
です,助動詞,2402
人間,名詞-普通名詞-一般,2356
ね,助詞-終助詞,2190
か,助詞-終助詞,2009
な,助動詞,1990
お,接頭辞,1644
で,助動詞,1571
ん,助詞-準体助詞,1530
CO,名詞-普通名詞-一般,1508
ない,助動詞,1444
か,助詞-副助詞,1430
狼,名詞-普通名詞-一般,1375
な,助詞-終助詞,1343
だっ,助動詞,1299
ます,助動詞,1226
霊,名詞-普通名詞-一般,1149
ない,形容詞-非自立可能,1113
て,助動詞,1108
私,代名詞,1101
に,助動詞,1091
から,助詞-接続助詞,1042
けど,助詞-接続助詞,995
人狼,名詞-普通名詞-一般,986
占,,948
占い,,918
って,助詞-副助詞,916
する,動詞-非自立可能,916
が,助詞-接続助詞,907
じゃ,助動詞,873
から,助詞-格助詞,847
今日,名詞-普通名詞-副詞可能,837
てる,助動詞,825
の,助詞-終助詞,809
白,名詞-普通名詞-一般,799
狩人,,793
護衛,名詞-普通名詞-サ変可能,775
わ,助詞-終助詞,775
占い師,,741
これ,代名詞,739
こと,名詞-普通名詞-一般,737
でし,助動詞,726
ん,助動詞,693
ごめん,名詞-普通名詞-一般,683
れ,助動詞,682
なら,助動詞,681
いい,形容詞-非自立可能,657
この,連体詞,657
いる,動詞-非自立可能,642
まし,助動詞,639
たら,助動詞,630
い,動詞-非自立可能,616
確認,名詞-普通名詞-サ変可能,607
ある,動詞-非自立可能,604
村,名詞-普通名詞-一般,592
俺,代名詞,572
いう,動詞-一般,552
2,名詞-数詞,544
し,助詞-接続助詞,528
僕,,527
霊能,名詞-普通名詞-一般,522
襲撃,名詞-普通名詞-サ変可能,512
出,動詞-一般,508
非,接頭辞,507
ば,助詞-接続助詞,496
羊,名詞-普通名詞-一般,487
思っ,動詞-一般,476
よう,形状詞-助動詞語幹,462
ニコラス,名詞-固有名詞-人名-一般,457
3,名詞-数詞,454
オットー,名詞-固有名詞-人名-一般,450
リーザ,名詞-固有名詞-人名-一般,445
パメラ,名詞-普通名詞-一般,444
人,名詞-普通名詞-一般,444
カタリナ,名詞-固有名詞-人名-一般,441
先,名詞-普通名詞-副詞可能,429
それ,代名詞,428
どう,副詞,422
潜伏,名詞-普通名詞-サ変可能,421
アルビン,名詞-固有名詞-人名-一般,421
ペーター,名詞-固有名詞-人名-一般,420
シモン,名詞-固有名詞-人名-一般,414
対抗,名詞-普通名詞-サ変可能,411
クララ,名詞-固有名詞-人名-一般,410
見,動詞-非自立可能,409
と,助詞-接続助詞,409
ＣＯ,名詞-普通名詞-一般,405
ませ,助動詞,403
なっ,動詞-非自立可能,403
希望,名詞-普通名詞-サ変可能,400
黒,名詞-普通名詞-一般,396
確定,名詞-普通名詞-サ変可能,392
判定,名詞-普通名詞-サ変可能,389
ヨアヒム,名詞-固有名詞-人名-一般,383
神,名詞-普通名詞-一般,383
何,代名詞,383
もう,,378
なん,代名詞,378
灰,名詞-普通名詞-一般,371
1,名詞-数詞,370
確,形容詞,364
さ,動詞-非自立可能,364
ぜ,助詞-終助詞,362
で,助詞-接続助詞,362
まで,助詞-副助詞,361
そう,副詞,356
d,名詞-普通名詞-一般,355
き,動詞-非自立可能,349
狩,名詞-普通名詞-一般,340
兵,名詞-普通名詞-一般,336
だけ,助詞-副助詞,336
エルナ,名詞-固有名詞-人名-一般,334
その,連体詞,326
なかっ,助動詞,322
たい,助動詞,319
くれ,動詞-非自立可能,318
なさい,動詞-非自立可能,309
妙,名詞-普通名詞-形状詞可能,309
ちょっと,,308
よー,助詞-終助詞,306
気,名詞-普通名詞-一般,305
真,名詞-普通名詞-一般,301
GJ,名詞-普通名詞-一般,301
gt,名詞-普通名詞-一般,297
ヤコブ,名詞-固有名詞-人名-一般,295
思う,動詞-一般,295
商,名詞-普通名詞-一般,293
そう,形状詞-助動詞語幹,293
旅,名詞-普通名詞-サ変可能,290
せ,助動詞,287
娘,名詞-普通名詞-一般,285
ディーター,名詞-固有名詞-人名-一般,284
一,名詞-数詞,281
ここ,代名詞,274
村長,名詞-普通名詞-一般,268
なる,動詞-非自立可能,265
結果,,264
み,動詞-非自立可能,263
フリー,名詞-普通名詞-形状詞可能,263
あり,動詞-非自立可能,262
トーマス,名詞-固有名詞-人名-一般,262
青,名詞-普通名詞-一般,262
デル,名詞-普通名詞-一般,259
4,名詞-数詞,259
言っ,動詞-一般,257
昨日,,255
修,名詞-固有名詞-人名-名,255
服,名詞-普通名詞-一般,249
考え,下一段-ア行,247
的,接尾辞-形状詞的,244
ジム,名詞-固有名詞-人名-一般,243
そして,接続詞,239
決定,名詞-普通名詞-サ変可能,238
ゾン,名詞-普通名詞-一般,237
理由,名詞-普通名詞-一般,235
